participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.language,participant.prolific_id,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.name,session.config.completion_code,session.config.language,session.config.real_world_currency_per_point,Task1.1.player.id_in_group,Task1.1.player.role,Task1.1.player.payoff,Task1.1.player.language,Task1.1.player.gave_consent,Task1.1.player.age_range,Task1.1.player.is_native,Task1.1.player.education,Task1.1.player.other_language_level,Task1.1.player.device,Task1.1.player.prolific_id,Task1.1.player.screened_out,Task1.1.player.task1_responses,Task1.1.group.id_in_subsession,Task1.1.subsession.round_number,Task2.1.player.id_in_group,Task2.1.player.role,Task2.1.player.payoff,Task2.1.player.language,Task2.1.player.t2_production_data,Task2.1.player.t2_perception_data,Task2.1.player.t2_ac1_pass,Task2.1.player.t2_ac2_pass,Task2.1.group.id_in_subsession,Task2.1.subsession.round_number,Task3.1.player.id_in_group,Task3.1.player.role,Task3.1.player.payoff,Task3.1.player.language,Task3.1.player.la_switching_point,Task3.1.player.la_selected_row,Task3.1.player.la_choice,Task3.1.player.la_coin_flip,Task3.1.player.la_payoff,Task3.1.player.la2_indifference_x,Task3.1.player.la2_bisection_data,Task3.1.player.la2_endowment,Task3.1.player.la2_selected_step,Task3.1.player.la2_selected_x,Task3.1.player.la2_selected_choice,Task3.1.player.la2_coin_flip,Task3.1.player.la2_bonus,Task3.1.player.la2_lambda,Task3.1.player.la2_anticipation_worry,Task3.1.player.la2_anticipation_prob,Task3.1.player.bonus_contact_email,Task3.1.player.comp_q1_attempts,Task3.1.player.comp_q2_attempts,Task3.1.player.comp_q3_attempts,Task3.1.player.td_switching_1mo,Task3.1.player.td_switching_6mo,Task3.1.player.td_switching_2yr,Task3.1.player.td_data,Task3.1.player.td_selected_horizon,Task3.1.player.td_selected_row,Task3.1.player.td_k_1mo,Task3.1.player.td_k_6mo,Task3.1.player.td_k_2yr,Task3.1.player.td_k_geo_mean,Task3.1.player.td_choice,Task3.1.player.gender,Task3.1.player.home_country,Task3.1.player.years_in_country,Task3.1.player.employment_industry,Task3.1.player.income_level,Task3.1.player.risk_general,Task3.1.player.patience_general,Task3.1.player.study_feedback,Task3.1.group.id_in_subsession,Task3.1.subsession.round_number
1,4k10dkkh,,0,0,23,,,,0,,,0.0,,,zvq1fyxv,,,,,1,0.0,study_en,CFZCG8H4,en,1.0,1,,0.0,en,0,,,,,,,0,{},1,1,1,,0.0,en,{},{},0,0,1,1,1,,0.0,en,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,1,1
2,v8x5y9b7,,0,0,23,,,,0,,,0.0,,,zvq1fyxv,,,,,1,0.0,study_en,CFZCG8H4,en,1.0,2,,0.0,en,0,,,,,,,0,{},1,1,2,,0.0,en,{},{},0,0,1,1,2,,0.0,en,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,1,1
3,c2xfl6cn,,0,0,23,,,,0,,,0.0,,,zvq1fyxv,,,,,1,0.0,study_en,CFZCG8H4,en,1.0,3,,0.0,en,0,,,,,,,0,{},1,1,3,,0.0,en,{},{},0,0,1,1,3,,0.0,en,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,1,1
1,tcjjzufs,,0,5,23,Task1,ScreenOut,2026-03-18 23:27:47.931936,1,,,0.0,en,,1j5nf34i,,,,,0,0.0,study_en,CFZCG8H4,en,1.0,1,,0.0,en,1,18-24,1,high_school,2,,sdf,1,{},1,1,1,,0.0,en,{},{},0,0,1,1,1,,0.0,en,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,1,1
2,jgbd9ypk,,0,1,23,Task1,Consent,2026-03-19 22:25:12.585660,1,,,0.0,en,,1j5nf34i,,,,,0,0.0,study_en,CFZCG8H4,en,1.0,2,,0.0,en,0,,,,,,,0,{},1,1,2,,0.0,en,{},{},0,0,1,1,2,,0.0,en,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,1,1
3,0fpwbp8m,,0,3,23,Task1,ProlificID,2026-03-20 13:23:08.012264,1,,,0.0,en,,1j5nf34i,,,,,0,0.0,study_en,CFZCG8H4,en,1.0,3,,0.0,en,1,,,,,,,0,{},1,1,3,,0.0,en,{},{},0,0,1,1,3,,0.0,en,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,1,1
4,l4ixy4aq,,0,23,23,Task3,FinalThankYou,2026-03-21 00:12:54.085760,1,,,0.0,en,,1j5nf34i,,,,,0,0.0,study_en,CFZCG8H4,en,1.0,4,,0.0,en,1,18-24,1,high_school,1,,aslf kuqh732qyglyg234,0,"{""story_1"":{""1"":""feels"",""2"":""will swell"",""3"":""will go"",""4"":""examined"",""5"":""will heal"",""6"":""will be"",""7"":""returned"",""8"":""removed"",""9"":""will need"",""10"":""started to cry""},""story_2"":{""1"":""pulled"",""2"":""is moving"",""3"":""will continue"",""4"":""will be"",""5"":""his"",""6"":""closed"",""7"":""will take"",""8"":""will think"",""9"":""trying"",""10"":""will go very""},""story_3"":{""1"":""noticed"",""2"":""will miss"",""3"":""heard"",""4"":""will not stop"",""5"":""going to do"",""6"":""will be"",""7"":""have"",""8"":""feels"",""9"":""will be"",""10"":""wil be""},""story_4"":{""1"":""drop"",""2"":""will snow"",""3"":""making"",""4"":""said"",""5"":""will keep"",""6"":""will be"",""7"":""find"",""8"":""dress"",""9"":""will catch"",""10"":""will be""}}",1,1,4,,0.0,en,"{""p_tmr_60"":{""1"":""are going to see""},""i_2yr_60"":{""1"":""will be a""},""i_tmr_cer"":{""1"":""are going""},""p_2yr_50"":{""1"":""will be""},""p_tmr_neu"":{""1"":""will drop""},""s_3mo_60"":{""1"":""will be here""},""ac_1"":{""1"":""will rain""},""p_tmr_cer"":{""1"":""will fall""},""p_3mo_50"":{""1"":""will proably improve""},""p_2yr_40_b"":{""1"":""could win""},""i_tmr_40"":{""1"":""will come""},""i_3mo_50"":{""1"":""probly wont""},""s_tmr_50"":{""1"":""wil prob paly""},""p_2yr_cer"":{""1"":""will rise""},""p_3mo_neu_b"":{""1"":""will see""},""i_3mo_neu"":{""1"":""will be""},""s_tmr_neu"":{""1"":""will leave""},""s_2yr_cer"":{""1"":""will mature""},""p_3mo_40"":{""1"":""will be""},""p_3mo_60"":{""1"":""will kill""},""p_3mo_cer"":{""1"":""will see""},""p_3mo_neu"":{""1"":""will make""},""ac_2"":{""1"":""will move""},""p_2yr_40"":{""1"":""will be""},""s_2yr_40"":{""1"":""will expire""},""p_tmr_50"":{""1"":""will crash""},""p_tmr_40"":{""1"":""will rise""}}","{""It is going to rain next week."":100,""It will rain next week."":99,""I think it will rain next week."":75,""It will definitely rain next week."":98,""It may rain next week."":44,""It could rain next week."":33,""It might rain next week."":53,""It will certainly rain next week."":93,""I think it is going to rain next week."":87,""It possibly will rain next week."":68,""It should rain next week."":43,""It probably will rain next week."":66,""It is raining next week."":82}",0,0,1,1,4,,0.0,en,,,,,,7.6,"[{""step"":1,""x_shown"":5.25,""choice"":""B""},{""step"":2,""x_shown"":7.65,""choice"":""B""},{""step"":3,""x_shown"":8.8,""choice"":""B""},{""step"":4,""x_shown"":9.4,""choice"":""A""},{""step"":5,""x_shown"":9.1,""choice"":""A""}]",10.0,3,8.8,B,Win,15.0,0.6579,6,40,,0,0,0,6,7,4,"{""switch_points"":{""1mo"":6,""6mo"":7,""2yr"":4},""all_choices"":{""1mo"":{""1"":""sooner"",""2"":""sooner"",""3"":""sooner"",""4"":""sooner"",""5"":""sooner"",""6"":""later"",""7"":""later""},""6mo"":{""1"":""sooner"",""2"":""sooner"",""3"":""sooner"",""4"":""sooner"",""5"":""sooner"",""6"":""sooner"",""7"":""later""},""2yr"":{""1"":""sooner"",""2"":""sooner"",""3"":""sooner"",""4"":""later"",""5"":""later"",""6"":""later"",""7"":""later""}}}",2yr,1,5.0,3.5,0.625,2.2198,sooner,Male,grd,1,IT/Technology,90k-120k,8,4,,1,1
5,4udfbmfl,,0,4,23,Task1,Screening,2026-03-21 00:13:24.210972,1,,,0.0,en,,1j5nf34i,,,,,0,0.0,study_en,CFZCG8H4,en,1.0,5,,0.0,en,1,,,,,,sdf,0,{},1,1,5,,0.0,en,{},{},0,0,1,1,5,,0.0,en,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,1,1
6,sasucfaa,,0,0,23,,,,0,,,0.0,,,1j5nf34i,,,,,0,0.0,study_en,CFZCG8H4,en,1.0,6,,0.0,en,0,,,,,,,0,{},1,1,6,,0.0,en,{},{},0,0,1,1,6,,0.0,en,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,1,1
7,gzbzf71h,,0,0,23,,,,0,,,0.0,,,1j5nf34i,,,,,0,0.0,study_en,CFZCG8H4,en,1.0,7,,0.0,en,0,,,,,,,0,{},1,1,7,,0.0,en,{},{},0,0,1,1,7,,0.0,en,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,1,1
